timestamp, name, pci.bus_id, driver_version, pstate, pcie.link.gen.max, pcie.link.gen.current, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2025/03/18 01:09:04.363, NVIDIA RTX A6000, 00000000:01:00.0, 535.183.01, P5, 4, 2, 59, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:09:04.364, NVIDIA RTX A6000, 00000000:25:00.0, 535.183.01, P5, 4, 2, 54, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:09:04.365, NVIDIA RTX A6000, 00000000:41:00.0, 535.183.01, P8, 4, 1, 58, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:09:04.366, NVIDIA RTX A6000, 00000000:61:00.0, 535.183.01, P5, 4, 2, 50, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:09:04.367, NVIDIA RTX A6000, 00000000:81:00.0, 535.183.01, P5, 4, 2, 57, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:09:04.368, NVIDIA RTX A6000, 00000000:A1:00.0, 535.183.01, P8, 4, 1, 49, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:09:04.370, NVIDIA RTX A6000, 00000000:C1:00.0, 535.183.01, P5, 4, 2, 57, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:09:04.372, NVIDIA RTX A6000, 00000000:E1:00.0, 535.183.01, P5, 4, 2, 51, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:09:05.374, NVIDIA RTX A6000, 00000000:01:00.0, 535.183.01, P8, 4, 1, 59, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:09:05.374, NVIDIA RTX A6000, 00000000:25:00.0, 535.183.01, P8, 4, 1, 54, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:09:05.375, NVIDIA RTX A6000, 00000000:41:00.0, 535.183.01, P8, 4, 1, 58, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:09:05.375, NVIDIA RTX A6000, 00000000:61:00.0, 535.183.01, P8, 4, 1, 49, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:09:05.376, NVIDIA RTX A6000, 00000000:81:00.0, 535.183.01, P8, 4, 1, 57, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:09:05.376, NVIDIA RTX A6000, 00000000:A1:00.0, 535.183.01, P8, 4, 1, 49, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:09:05.377, NVIDIA RTX A6000, 00000000:C1:00.0, 535.183.01, P8, 4, 1, 57, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
