timestamp, name, pci.bus_id, driver_version, pstate, pcie.link.gen.max, pcie.link.gen.current, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2025/03/18 01:06:33.039, NVIDIA RTX A6000, 00000000:01:00.0, 535.183.01, P8, 4, 1, 46, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:33.041, NVIDIA RTX A6000, 00000000:25:00.0, 535.183.01, P8, 4, 1, 41, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:33.042, NVIDIA RTX A6000, 00000000:41:00.0, 535.183.01, P8, 4, 1, 44, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:33.043, NVIDIA RTX A6000, 00000000:61:00.0, 535.183.01, P8, 4, 1, 37, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:33.044, NVIDIA RTX A6000, 00000000:81:00.0, 535.183.01, P8, 4, 1, 42, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:33.045, NVIDIA RTX A6000, 00000000:A1:00.0, 535.183.01, P8, 4, 1, 36, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:33.046, NVIDIA RTX A6000, 00000000:C1:00.0, 535.183.01, P8, 4, 1, 43, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:33.047, NVIDIA RTX A6000, 00000000:E1:00.0, 535.183.01, P8, 4, 1, 37, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:34.048, NVIDIA RTX A6000, 00000000:01:00.0, 535.183.01, P8, 4, 1, 46, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:34.049, NVIDIA RTX A6000, 00000000:25:00.0, 535.183.01, P8, 4, 1, 41, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:34.050, NVIDIA RTX A6000, 00000000:41:00.0, 535.183.01, P8, 4, 1, 44, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:34.050, NVIDIA RTX A6000, 00000000:61:00.0, 535.183.01, P8, 4, 1, 37, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:34.051, NVIDIA RTX A6000, 00000000:81:00.0, 535.183.01, P8, 4, 1, 42, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:34.052, NVIDIA RTX A6000, 00000000:A1:00.0, 535.183.01, P8, 4, 1, 36, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:34.052, NVIDIA RTX A6000, 00000000:C1:00.0, 535.183.01, P8, 4, 1, 42, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:34.053, NVIDIA RTX A6000, 00000000:E1:00.0, 535.183.01, P8, 4, 1, 37, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:35.054, NVIDIA RTX A6000, 00000000:01:00.0, 535.183.01, P8, 4, 1, 46, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:35.054, NVIDIA RTX A6000, 00000000:25:00.0, 535.183.01, P8, 4, 1, 41, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:35.055, NVIDIA RTX A6000, 00000000:41:00.0, 535.183.01, P8, 4, 1, 44, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:35.056, NVIDIA RTX A6000, 00000000:61:00.0, 535.183.01, P8, 4, 1, 37, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:35.056, NVIDIA RTX A6000, 00000000:81:00.0, 535.183.01, P8, 4, 1, 42, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:35.057, NVIDIA RTX A6000, 00000000:A1:00.0, 535.183.01, P8, 4, 1, 36, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:35.058, NVIDIA RTX A6000, 00000000:C1:00.0, 535.183.01, P8, 4, 1, 42, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:35.058, NVIDIA RTX A6000, 00000000:E1:00.0, 535.183.01, P8, 4, 1, 37, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:36.059, NVIDIA RTX A6000, 00000000:01:00.0, 535.183.01, P8, 4, 1, 46, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:36.060, NVIDIA RTX A6000, 00000000:25:00.0, 535.183.01, P8, 4, 1, 41, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:36.060, NVIDIA RTX A6000, 00000000:41:00.0, 535.183.01, P8, 4, 1, 43, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:36.061, NVIDIA RTX A6000, 00000000:61:00.0, 535.183.01, P8, 4, 1, 36, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:36.062, NVIDIA RTX A6000, 00000000:81:00.0, 535.183.01, P8, 4, 1, 42, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:36.062, NVIDIA RTX A6000, 00000000:A1:00.0, 535.183.01, P8, 4, 1, 36, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:36.063, NVIDIA RTX A6000, 00000000:C1:00.0, 535.183.01, P8, 4, 1, 42, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:36.064, NVIDIA RTX A6000, 00000000:E1:00.0, 535.183.01, P8, 4, 1, 37, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:37.065, NVIDIA RTX A6000, 00000000:01:00.0, 535.183.01, P8, 4, 1, 45, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:37.066, NVIDIA RTX A6000, 00000000:25:00.0, 535.183.01, P8, 4, 1, 41, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:37.067, NVIDIA RTX A6000, 00000000:41:00.0, 535.183.01, P8, 4, 1, 43, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:37.068, NVIDIA RTX A6000, 00000000:61:00.0, 535.183.01, P8, 4, 1, 36, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:37.069, NVIDIA RTX A6000, 00000000:81:00.0, 535.183.01, P8, 4, 1, 42, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:37.070, NVIDIA RTX A6000, 00000000:A1:00.0, 535.183.01, P8, 4, 1, 36, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:37.071, NVIDIA RTX A6000, 00000000:C1:00.0, 535.183.01, P8, 4, 1, 42, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:37.072, NVIDIA RTX A6000, 00000000:E1:00.0, 535.183.01, P8, 4, 1, 37, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:38.073, NVIDIA RTX A6000, 00000000:01:00.0, 535.183.01, P8, 4, 1, 45, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:38.073, NVIDIA RTX A6000, 00000000:25:00.0, 535.183.01, P8, 4, 1, 40, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:38.074, NVIDIA RTX A6000, 00000000:41:00.0, 535.183.01, P8, 4, 1, 43, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:38.075, NVIDIA RTX A6000, 00000000:61:00.0, 535.183.01, P8, 4, 1, 36, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:38.075, NVIDIA RTX A6000, 00000000:81:00.0, 535.183.01, P8, 4, 1, 42, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:38.076, NVIDIA RTX A6000, 00000000:A1:00.0, 535.183.01, P8, 4, 1, 36, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:38.076, NVIDIA RTX A6000, 00000000:C1:00.0, 535.183.01, P8, 4, 1, 42, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:38.077, NVIDIA RTX A6000, 00000000:E1:00.0, 535.183.01, P8, 4, 1, 37, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:39.078, NVIDIA RTX A6000, 00000000:01:00.0, 535.183.01, P8, 4, 1, 45, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:39.078, NVIDIA RTX A6000, 00000000:25:00.0, 535.183.01, P8, 4, 1, 40, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:39.079, NVIDIA RTX A6000, 00000000:41:00.0, 535.183.01, P8, 4, 1, 43, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:39.080, NVIDIA RTX A6000, 00000000:61:00.0, 535.183.01, P8, 4, 1, 36, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:39.080, NVIDIA RTX A6000, 00000000:81:00.0, 535.183.01, P8, 4, 1, 42, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:39.083, NVIDIA RTX A6000, 00000000:A1:00.0, 535.183.01, P8, 4, 1, 36, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:39.084, NVIDIA RTX A6000, 00000000:C1:00.0, 535.183.01, P8, 4, 1, 42, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:39.085, NVIDIA RTX A6000, 00000000:E1:00.0, 535.183.01, P8, 4, 1, 37, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:40.085, NVIDIA RTX A6000, 00000000:01:00.0, 535.183.01, P8, 4, 1, 45, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:40.086, NVIDIA RTX A6000, 00000000:25:00.0, 535.183.01, P8, 4, 1, 40, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:40.087, NVIDIA RTX A6000, 00000000:41:00.0, 535.183.01, P8, 4, 1, 43, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:40.087, NVIDIA RTX A6000, 00000000:61:00.0, 535.183.01, P8, 4, 1, 36, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:40.088, NVIDIA RTX A6000, 00000000:81:00.0, 535.183.01, P8, 4, 1, 41, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:40.088, NVIDIA RTX A6000, 00000000:A1:00.0, 535.183.01, P8, 4, 1, 36, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:40.089, NVIDIA RTX A6000, 00000000:C1:00.0, 535.183.01, P8, 4, 1, 42, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:40.089, NVIDIA RTX A6000, 00000000:E1:00.0, 535.183.01, P8, 4, 1, 37, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:41.095, NVIDIA RTX A6000, 00000000:01:00.0, 535.183.01, P8, 4, 1, 45, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:41.096, NVIDIA RTX A6000, 00000000:25:00.0, 535.183.01, P8, 4, 1, 40, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:41.097, NVIDIA RTX A6000, 00000000:41:00.0, 535.183.01, P8, 4, 1, 43, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:41.097, NVIDIA RTX A6000, 00000000:61:00.0, 535.183.01, P8, 4, 1, 36, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:41.098, NVIDIA RTX A6000, 00000000:81:00.0, 535.183.01, P8, 4, 1, 42, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:41.099, NVIDIA RTX A6000, 00000000:A1:00.0, 535.183.01, P8, 4, 1, 35, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:41.099, NVIDIA RTX A6000, 00000000:C1:00.0, 535.183.01, P8, 4, 1, 42, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:41.100, NVIDIA RTX A6000, 00000000:E1:00.0, 535.183.01, P8, 4, 1, 36, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 01:06:42.101, NVIDIA RTX A6000, 00000000:01:00.0, 535.183.01, P8, 4, 1, 45, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
