timestamp, name, pci.bus_id, driver_version, pstate, pcie.link.gen.max, pcie.link.gen.current, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2025/03/18 02:20:56.504, NVIDIA RTX A6000, 00000000:01:00.0, 535.183.01, P8, 4, 1, 43, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:20:56.506, NVIDIA RTX A6000, 00000000:25:00.0, 535.183.01, P8, 4, 1, 39, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:20:56.507, NVIDIA RTX A6000, 00000000:41:00.0, 535.183.01, P8, 4, 1, 38, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:20:56.508, NVIDIA RTX A6000, 00000000:61:00.0, 535.183.01, P8, 4, 1, 33, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:20:56.509, NVIDIA RTX A6000, 00000000:81:00.0, 535.183.01, P8, 4, 1, 30, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:20:56.510, NVIDIA RTX A6000, 00000000:A1:00.0, 535.183.01, P8, 4, 1, 28, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:20:56.511, NVIDIA RTX A6000, 00000000:C1:00.0, 535.183.01, P8, 4, 1, 31, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:20:56.512, NVIDIA RTX A6000, 00000000:E1:00.0, 535.183.01, P8, 4, 1, 28, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:20:57.513, NVIDIA RTX A6000, 00000000:01:00.0, 535.183.01, P8, 4, 1, 42, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:20:57.514, NVIDIA RTX A6000, 00000000:25:00.0, 535.183.01, P8, 4, 1, 38, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:20:57.515, NVIDIA RTX A6000, 00000000:41:00.0, 535.183.01, P8, 4, 1, 38, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:20:57.515, NVIDIA RTX A6000, 00000000:61:00.0, 535.183.01, P8, 4, 1, 33, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:20:57.516, NVIDIA RTX A6000, 00000000:81:00.0, 535.183.01, P8, 4, 1, 30, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:20:57.516, NVIDIA RTX A6000, 00000000:A1:00.0, 535.183.01, P8, 4, 1, 28, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:20:57.517, NVIDIA RTX A6000, 00000000:C1:00.0, 535.183.01, P8, 4, 1, 31, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:20:57.518, NVIDIA RTX A6000, 00000000:E1:00.0, 535.183.01, P8, 4, 1, 28, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:20:58.518, NVIDIA RTX A6000, 00000000:01:00.0, 535.183.01, P8, 4, 1, 42, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:20:58.519, NVIDIA RTX A6000, 00000000:25:00.0, 535.183.01, P8, 4, 1, 38, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:20:58.520, NVIDIA RTX A6000, 00000000:41:00.0, 535.183.01, P8, 4, 1, 38, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:20:58.521, NVIDIA RTX A6000, 00000000:61:00.0, 535.183.01, P8, 4, 1, 33, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:20:58.522, NVIDIA RTX A6000, 00000000:81:00.0, 535.183.01, P8, 4, 1, 30, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:20:58.522, NVIDIA RTX A6000, 00000000:A1:00.0, 535.183.01, P8, 4, 1, 28, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:20:58.523, NVIDIA RTX A6000, 00000000:C1:00.0, 535.183.01, P8, 4, 1, 31, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:20:58.524, NVIDIA RTX A6000, 00000000:E1:00.0, 535.183.01, P8, 4, 1, 28, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:20:59.525, NVIDIA RTX A6000, 00000000:01:00.0, 535.183.01, P8, 4, 1, 42, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:20:59.526, NVIDIA RTX A6000, 00000000:25:00.0, 535.183.01, P8, 4, 1, 38, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:20:59.526, NVIDIA RTX A6000, 00000000:41:00.0, 535.183.01, P8, 4, 1, 38, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:20:59.527, NVIDIA RTX A6000, 00000000:61:00.0, 535.183.01, P8, 4, 1, 33, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:20:59.527, NVIDIA RTX A6000, 00000000:81:00.0, 535.183.01, P8, 4, 1, 30, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:20:59.528, NVIDIA RTX A6000, 00000000:A1:00.0, 535.183.01, P8, 4, 1, 28, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:20:59.528, NVIDIA RTX A6000, 00000000:C1:00.0, 535.183.01, P8, 4, 1, 31, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:20:59.529, NVIDIA RTX A6000, 00000000:E1:00.0, 535.183.01, P8, 4, 1, 28, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:21:00.529, NVIDIA RTX A6000, 00000000:01:00.0, 535.183.01, P8, 4, 1, 42, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:21:00.530, NVIDIA RTX A6000, 00000000:25:00.0, 535.183.01, P8, 4, 1, 38, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:21:00.531, NVIDIA RTX A6000, 00000000:41:00.0, 535.183.01, P8, 4, 1, 38, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:21:00.531, NVIDIA RTX A6000, 00000000:61:00.0, 535.183.01, P8, 4, 1, 33, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:21:00.532, NVIDIA RTX A6000, 00000000:81:00.0, 535.183.01, P8, 4, 1, 30, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:21:00.532, NVIDIA RTX A6000, 00000000:A1:00.0, 535.183.01, P8, 4, 1, 28, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:21:00.533, NVIDIA RTX A6000, 00000000:C1:00.0, 535.183.01, P8, 4, 1, 31, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:21:00.533, NVIDIA RTX A6000, 00000000:E1:00.0, 535.183.01, P8, 4, 1, 28, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:21:01.534, NVIDIA RTX A6000, 00000000:01:00.0, 535.183.01, P8, 4, 1, 42, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:21:01.535, NVIDIA RTX A6000, 00000000:25:00.0, 535.183.01, P8, 4, 1, 38, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:21:01.536, NVIDIA RTX A6000, 00000000:41:00.0, 535.183.01, P8, 4, 1, 38, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:21:01.536, NVIDIA RTX A6000, 00000000:61:00.0, 535.183.01, P8, 4, 1, 33, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:21:01.537, NVIDIA RTX A6000, 00000000:81:00.0, 535.183.01, P8, 4, 1, 30, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:21:01.538, NVIDIA RTX A6000, 00000000:A1:00.0, 535.183.01, P8, 4, 1, 28, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:21:01.538, NVIDIA RTX A6000, 00000000:C1:00.0, 535.183.01, P8, 4, 1, 30, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:21:01.539, NVIDIA RTX A6000, 00000000:E1:00.0, 535.183.01, P8, 4, 1, 28, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:21:02.540, NVIDIA RTX A6000, 00000000:01:00.0, 535.183.01, P8, 4, 1, 42, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:21:02.541, NVIDIA RTX A6000, 00000000:25:00.0, 535.183.01, P8, 4, 1, 38, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
