time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.mlp_up_proj.min,time_stats.mlp_up_proj.max,time_stats.mlp_up_proj.mean,time_stats.mlp_up_proj.median,time_stats.mlp_up_proj.std,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.mlp_down_proj.min,time_stats.mlp_down_proj.max,time_stats.mlp_down_proj.mean,time_stats.mlp_down_proj.median,time_stats.mlp_down_proj.std,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,num_tokens,num_tensor_parallel_workers
0.167,0.193,0.18600000000000003,0.189,0.008607859088951099,0.146,0.165,0.15994999999999998,0.162,0.005669876541865798,3.092,3.486,3.3829000000000002,3.407,0.10427938434801005,0.21,0.214,0.2131,0.213,0.0010908712114635723,1.082,1.254,1.21345,1.223,0.04437507746472113,0.146,0.165,0.1612,0.1625,0.0048538644398046435,5.625,6.239,6.0514,6.096,0.154509352467739,0.40900000000000003,0.42,0.41675000000000006,0.4175,0.002736329658502411,2.72,3.279,3.1500500000000002,3.186,0.14555084163274354,0.14400000000000002,0.147,0.1452,0.145,0.0006782329983125226,32,32,4096,11008,32768,True,4096,1
0.164,0.193,0.18585714285714283,0.191,0.009833304508201725,0.145,0.164,0.16005,0.163,0.006224748990923254,3.086,3.523,3.3950000000000005,3.4375,0.12493278192692266,0.21,0.214,0.21309999999999998,0.213,0.0011789826122551607,1.071,1.2510000000000001,1.2163,1.234,0.047914611550131575,0.145,0.164,0.1608,0.1625,0.005025932749251629,5.542,6.208,6.0546500000000005,6.111000000000001,0.1790964195622013,0.40800000000000003,0.419,0.41669999999999996,0.4175,0.0027946377224964103,2.688,3.248,3.15575,3.216,0.15671817858819057,0.145,0.147,0.14525,0.145,0.0005361902647381809,32,32,4096,11008,32768,True,4096,1
0.164,0.193,0.18442857142857141,0.187,0.008633111388421785,0.145,0.164,0.1598,0.161,0.005075431016179813,3.059,3.513,3.3715500000000005,3.3810000000000002,0.11226195927383413,0.20800000000000002,0.213,0.2112,0.211,0.0012489995996796735,1.066,1.248,1.2034000000000002,1.2095,0.048080557401095084,0.145,0.163,0.15940000000000001,0.161,0.00490306026885251,5.511,6.3180000000000005,6.0218,6.038,0.17715264604289724,0.405,0.41500000000000004,0.4125,0.41300000000000003,0.0026172504656604826,2.693,3.247,3.13015,3.157,0.12615755030912734,0.14300000000000002,0.145,0.1438,0.14400000000000002,0.0006782329983125202,32,32,4096,11008,32768,True,4064,1
0.163,0.189,0.1827619047619048,0.187,0.008825853591011878,0.14300000000000002,0.16,0.15664999999999998,0.159,0.0056238332123205725,3.107,3.426,3.35635,3.394,0.10241546514076863,0.20600000000000002,0.211,0.20935,0.21,0.0012757350822172997,1.063,1.229,1.1951499999999997,1.217,0.05382775770919686,0.14300000000000002,0.16,0.15729999999999997,0.159,0.004561797891182817,5.551,6.131,6.025000000000001,6.0565,0.14105743511066682,0.401,0.41200000000000003,0.40975,0.41050000000000003,0.0026995369973386195,2.692,3.217,3.1392499999999997,3.186,0.1462275196397723,0.14200000000000002,0.14300000000000002,0.1425,0.14250000000000002,0.0005000000000000004,32,32,4096,11008,32768,True,4032,1
0.166,0.192,0.18742857142857142,0.19,0.0068003601345210845,0.146,0.164,0.16085,0.162,0.0041626313793080485,3.111,3.5500000000000003,3.47455,3.5115,0.1079793846065072,0.20500000000000002,0.21,0.20865,0.209,0.0011947803145348434,1.1340000000000001,1.247,1.22455,1.234,0.02867660196048338,0.146,0.164,0.16085,0.162,0.0042693676346737845,5.615,6.373,6.2079,6.2620000000000005,0.193757038581828,0.4,0.41100000000000003,0.4085,0.40900000000000003,0.0027838821814150133,2.853,3.31,3.2356499999999997,3.2705,0.11123366172162095,0.14100000000000001,0.14200000000000002,0.14135000000000003,0.14100000000000001,0.00047696960070847325,32,32,4096,11008,32768,True,4000,1
0.163,0.188,0.18223809523809523,0.186,0.008678955181273186,0.14400000000000002,0.162,0.15795000000000003,0.16,0.0052199137923915956,2.963,3.416,3.3075999999999994,3.362,0.14070017768290133,0.203,0.20800000000000002,0.20610000000000003,0.20650000000000002,0.0013379088160259665,1.088,1.197,1.16505,1.174,0.03032074372438775,0.14400000000000002,0.162,0.15815000000000004,0.16,0.005042568789813383,5.329,6.061,5.92325,5.9965,0.2109070589145845,0.397,0.40700000000000003,0.40485,0.406,0.002515452245621055,2.749,3.177,3.08645,3.116,0.10472176230373513,0.14200000000000002,0.145,0.14265,0.14200000000000002,0.0008529361054615959,32,32,4096,11008,32768,True,3968,1
0.162,0.19,0.1829047619047619,0.186,0.007508121075619902,0.14200000000000002,0.161,0.15675,0.158,0.004689083066016212,2.997,3.448,3.3418499999999995,3.384,0.13072041730349548,0.201,0.20600000000000002,0.20455,0.20500000000000002,0.0013219304066402295,1.084,1.199,1.1702499999999998,1.179,0.031573525302062797,0.14200000000000002,0.16,0.15664999999999998,0.1585,0.005198797937985276,5.498,6.104,5.956049999999999,6.007,0.16589951024641394,0.393,0.404,0.40200000000000014,0.403,0.002588435821108959,2.737,3.203,3.1035,3.1395,0.10645304129051457,0.14,0.14200000000000002,0.1411,0.14100000000000001,0.00043588989435406776,32,32,4096,11008,32768,True,3936,1
0.16,0.188,0.18042857142857144,0.184,0.00888321814579887,0.14,0.16,0.15530000000000002,0.157,0.005541660400998963,2.841,3.287,3.17195,3.216,0.12944862880695185,0.201,0.20600000000000002,0.20420000000000002,0.20500000000000002,0.001326649916142161,0.9520000000000001,1.103,1.0599000000000003,1.0715,0.042804088589759724,0.14,0.16,0.15599999999999997,0.158,0.005558776843874916,5.0600000000000005,5.822,5.62805,5.683,0.21817962210069014,0.39,0.402,0.39895,0.4,0.0026547127904916596,2.395,2.878,2.7632000000000003,2.775,0.11218047958535389,0.14100000000000001,0.14300000000000002,0.1417,0.14200000000000002,0.0007141428428542856,32,32,4096,11008,32768,True,3904,1
0.178,0.183,0.18157142857142855,0.182,0.0012936264483053464,0.154,0.158,0.15605000000000002,0.156,0.001160818676624391,3.12,3.237,3.1950000000000003,3.206,0.02663644120373441,0.202,0.203,0.20249999999999999,0.2025,0.0005000000000000004,1.033,1.073,1.0599,1.063,0.009385627309881866,0.154,0.158,0.15615,0.156,0.001061838029079766,5.5200000000000005,5.727,5.6335500000000005,5.6495,0.0504752166909662,0.395,0.398,0.396,0.396,0.0007745966692414842,2.698,2.802,2.76105,2.775,0.02363149381651534,0.14,0.14200000000000002,0.14125000000000001,0.14100000000000001,0.0006224949798994372,32,32,4096,11008,32768,True,3872,1
0.17500000000000002,0.181,0.17885714285714285,0.179,0.0014238015607358123,0.15,0.154,0.1523,0.152,0.0011000000000000012,3.097,3.217,3.1783,3.185,0.02644068834202316,0.197,0.198,0.19785,0.198,0.00035707142142714273,1.024,1.065,1.05185,1.053,0.00929663917768137,0.15,0.154,0.1529,0.153,0.0009433981132056611,5.312,5.5120000000000005,5.436,5.44,0.04694251804068464,0.391,0.393,0.3923,0.392,0.0006403124237432854,2.673,2.7760000000000002,2.7354000000000003,2.7485,0.026163715332498182,0.138,0.14,0.13880000000000003,0.139,0.0005099019513592789,32,32,4096,11008,32768,True,3840,1
