timestamp, name, pci.bus_id, driver_version, pstate, pcie.link.gen.max, pcie.link.gen.current, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2025/03/18 02:11:20.828, NVIDIA RTX A6000, 00000000:01:00.0, 535.183.01, P8, 4, 1, 30, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:11:20.829, NVIDIA RTX A6000, 00000000:25:00.0, 535.183.01, P8, 4, 1, 30, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:11:20.830, NVIDIA RTX A6000, 00000000:41:00.0, 535.183.01, P8, 4, 1, 29, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:11:20.831, NVIDIA RTX A6000, 00000000:61:00.0, 535.183.01, P8, 4, 1, 27, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:11:20.832, NVIDIA RTX A6000, 00000000:81:00.0, 535.183.01, P8, 4, 1, 28, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:11:20.833, NVIDIA RTX A6000, 00000000:A1:00.0, 535.183.01, P8, 4, 1, 27, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:11:20.834, NVIDIA RTX A6000, 00000000:C1:00.0, 535.183.01, P8, 4, 1, 29, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:11:20.835, NVIDIA RTX A6000, 00000000:E1:00.0, 535.183.01, P8, 4, 1, 27, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:11:21.836, NVIDIA RTX A6000, 00000000:01:00.0, 535.183.01, P8, 4, 1, 30, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:11:21.837, NVIDIA RTX A6000, 00000000:25:00.0, 535.183.01, P8, 4, 1, 30, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:11:21.838, NVIDIA RTX A6000, 00000000:41:00.0, 535.183.01, P8, 4, 1, 29, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:11:21.838, NVIDIA RTX A6000, 00000000:61:00.0, 535.183.01, P8, 4, 1, 27, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:11:21.839, NVIDIA RTX A6000, 00000000:81:00.0, 535.183.01, P8, 4, 1, 28, 1 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:11:21.839, NVIDIA RTX A6000, 00000000:A1:00.0, 535.183.01, P8, 4, 1, 27, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:11:21.840, NVIDIA RTX A6000, 00000000:C1:00.0, 535.183.01, P8, 4, 1, 29, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
2025/03/18 02:11:21.841, NVIDIA RTX A6000, 00000000:E1:00.0, 535.183.01, P8, 4, 1, 27, 0 %, 0 %, 49140 MiB, 48666 MiB, 10 MiB
