,time_stats.all_reduce.min,time_stats.all_reduce.max,time_stats.all_reduce.mean,time_stats.all_reduce.median,time_stats.all_reduce.std,rank,num_workers,size,collective,devices_per_node,max_devices_per_node
0,0.014,0.057,0.03133333333333333,0.023,0.018517259216441533,0,8,2048,all_reduce,8,8
1,0.058,0.063,0.061,0.062,0.0021602468994692853,0,8,10240,all_reduce,8,8
2,0.059000000000000004,0.062,0.06,0.059000000000000004,0.001414213562373093,0,8,18432,all_reduce,8,8
3,0.059000000000000004,0.061,0.06,0.06,0.0008164965809277239,0,8,26624,all_reduce,8,8
4,0.058,0.125,0.081,0.06,0.031123410267299863,0,8,34816,all_reduce,8,8
5,0.06,0.089,0.06999999999999999,0.061,0.0134412301024373,0,8,43008,all_reduce,8,8
6,0.058,0.062,0.06,0.06,0.0016329931618554508,0,8,51200,all_reduce,8,8
7,0.058,0.065,0.062,0.063,0.002943920288775948,0,8,59392,all_reduce,8,8
8,0.127,0.146,0.13433333333333333,0.13,0.00833999733546453,0,8,67584,all_reduce,8,8
9,0.064,0.166,0.12766666666666668,0.153,0.04533088228668055,0,8,75776,all_reduce,8,8
10,0.06,0.065,0.06233333333333333,0.062,0.0020548046676563273,0,8,83968,all_reduce,8,8
11,0.061,0.186,0.10366666666666667,0.064,0.05823133940490197,0,8,92160,all_reduce,8,8
12,0.058,0.062,0.06033333333333333,0.061,0.0016996731711975933,0,8,100352,all_reduce,8,8
13,0.064,0.067,0.06533333333333334,0.065,0.0012472191289246482,0,8,108544,all_reduce,8,8
14,0.066,0.091,0.07466666666666667,0.067,0.011556623882239807,0,8,116736,all_reduce,8,8
15,0.068,0.069,0.06833333333333334,0.068,0.00047140452079103207,0,8,124928,all_reduce,8,8
16,0.07200000000000001,0.074,0.073,0.073,0.0008164965809277211,0,8,133120,all_reduce,8,8
17,0.074,0.308,0.15233333333333335,0.075,0.1100737126757439,0,8,141312,all_reduce,8,8
18,0.08,0.082,0.08066666666666666,0.08,0.0009428090415820641,0,8,149504,all_reduce,8,8
19,0.028,0.06,0.048666666666666664,0.058,0.014636332266733432,0,8,157696,all_reduce,8,8
20,0.08700000000000001,0.092,0.08900000000000001,0.088,0.0021602468994692844,0,8,165888,all_reduce,8,8
21,0.092,0.098,0.09433333333333334,0.093,0.002624669291337273,0,8,174080,all_reduce,8,8
22,0.098,0.386,0.19399999999999998,0.098,0.13576450198781712,0,8,182272,all_reduce,8,8
23,0.058,0.063,0.06033333333333333,0.06,0.0020548046676563247,0,8,190464,all_reduce,8,8
24,0.113,0.115,0.11366666666666668,0.113,0.0009428090415820641,0,8,198656,all_reduce,8,8
25,0.117,0.123,0.11966666666666666,0.11900000000000001,0.0024944382578492904,0,8,206848,all_reduce,8,8
26,0.12,0.121,0.12033333333333333,0.12,0.00047140452079103207,0,8,215040,all_reduce,8,8
27,0.101,0.10200000000000001,0.10166666666666668,0.10200000000000001,0.00047140452079103207,0,8,223232,all_reduce,8,8
28,0.12,0.124,0.122,0.122,0.0016329931618554536,0,8,231424,all_reduce,8,8
29,0.251,0.258,0.25533333333333336,0.257,0.0030912061651652374,0,8,239616,all_reduce,8,8
30,0.122,0.273,0.17333333333333334,0.125,0.07048561713017928,0,8,247808,all_reduce,8,8
31,0.122,0.13,0.125,0.123,0.0035590260840104404,0,8,256000,all_reduce,8,8
32,0.127,0.28600000000000003,0.18066666666666667,0.129,0.07448638950991131,0,8,264192,all_reduce,8,8
33,0.132,0.133,0.13233333333333333,0.132,0.00047140452079103207,0,8,272384,all_reduce,8,8
34,0.107,0.114,0.11066666666666668,0.111,0.002867441755680878,0,8,280576,all_reduce,8,8
35,0.134,0.135,0.13466666666666668,0.135,0.00047140452079103207,0,8,288768,all_reduce,8,8
36,0.134,0.139,0.13633333333333333,0.136,0.0020548046676563273,0,8,296960,all_reduce,8,8
37,0.132,0.137,0.135,0.136,0.0021602468994692888,0,8,305152,all_reduce,8,8
38,0.111,0.114,0.11233333333333334,0.112,0.0012472191289246482,0,8,313344,all_reduce,8,8
39,0.11,0.116,0.11266666666666668,0.112,0.0024944382578492965,0,8,321536,all_reduce,8,8
40,0.111,0.11900000000000001,0.11466666666666668,0.114,0.003299831645537225,0,8,329728,all_reduce,8,8
41,0.14200000000000002,0.151,0.14600000000000002,0.145,0.003741657386773935,0,8,337920,all_reduce,8,8
42,0.145,0.148,0.14633333333333332,0.146,0.0012472191289246482,0,8,346112,all_reduce,8,8
43,0.14200000000000002,0.148,0.14433333333333334,0.14300000000000002,0.00262466929133726,0,8,354304,all_reduce,8,8
44,0.14300000000000002,0.374,0.22133333333333335,0.147,0.10796398576480132,0,8,362496,all_reduce,8,8
45,0.149,0.154,0.15133333333333332,0.151,0.0020548046676563273,0,8,370688,all_reduce,8,8
46,0.14100000000000001,0.382,0.22433333333333336,0.15,0.1115476978197618,0,8,378880,all_reduce,8,8
47,0.149,0.367,0.222,0.15,0.10253129603524315,0,8,387072,all_reduce,8,8
48,0.14100000000000001,0.388,0.22633333333333336,0.15,0.11437462811111368,0,8,395264,all_reduce,8,8
49,0.158,0.163,0.16,0.159,0.0021602468994692888,0,8,403456,all_reduce,8,8
50,0.158,0.165,0.16066666666666665,0.159,0.0030912061651652374,0,8,411648,all_reduce,8,8
51,0.154,0.162,0.15866666666666665,0.16,0.0033993463423951926,0,8,419840,all_reduce,8,8
52,0.16,0.41100000000000003,0.24500000000000002,0.164,0.1173910842724722,0,8,428032,all_reduce,8,8
53,0.124,0.127,0.125,0.124,0.0014142135623730965,0,8,436224,all_reduce,8,8
54,0.161,0.17,0.16633333333333333,0.168,0.0038586123009300786,0,8,444416,all_reduce,8,8
55,0.17,0.443,0.26366666666666666,0.178,0.12684986751624494,0,8,452608,all_reduce,8,8
56,0.161,0.165,0.16333333333333333,0.164,0.0016996731711975963,0,8,460800,all_reduce,8,8
57,0.167,0.194,0.17700000000000002,0.17,0.01208304597359457,0,8,468992,all_reduce,8,8
58,0.165,0.17400000000000002,0.16966666666666666,0.17,0.00368178700572909,0,8,477184,all_reduce,8,8
59,0.161,0.466,0.26633333333333337,0.17200000000000001,0.14125705488773138,0,8,485376,all_reduce,8,8
60,0.17500000000000002,0.46,0.27099999999999996,0.178,0.1336487934850143,0,8,493568,all_reduce,8,8
61,0.165,0.45,0.26333333333333336,0.17500000000000002,0.13205638526360203,0,8,501760,all_reduce,8,8
62,0.17,0.47300000000000003,0.27566666666666667,0.184,0.13965274393612498,0,8,509952,all_reduce,8,8
63,0.17300000000000001,0.47100000000000003,0.27466666666666667,0.18,0.13885804101871652,0,8,518144,all_reduce,8,8
64,0.171,0.505,0.2823333333333334,0.171,0.15744910994420458,0,8,526336,all_reduce,8,8
65,0.17400000000000002,0.508,0.2863333333333334,0.177,0.15674678802309014,0,8,534528,all_reduce,8,8
66,0.177,0.514,0.29033333333333333,0.18,0.15816095880111783,0,8,542720,all_reduce,8,8
67,0.17500000000000002,0.179,0.17766666666666667,0.179,0.0018856180831641153,0,8,550912,all_reduce,8,8
68,0.17500000000000002,0.182,0.17766666666666667,0.176,0.003091206165165229,0,8,559104,all_reduce,8,8
69,0.176,0.185,0.18033333333333332,0.18,0.0036817870057290905,0,8,567296,all_reduce,8,8
70,0.178,0.186,0.18066666666666667,0.178,0.0037712361663282566,0,8,575488,all_reduce,8,8
71,0.178,0.185,0.18099999999999997,0.18,0.0029439202887759515,0,8,583680,all_reduce,8,8
72,0.182,0.40900000000000003,0.25766666666666665,0.182,0.1070088262195642,0,8,591872,all_reduce,8,8
73,0.181,0.187,0.18466666666666667,0.186,0.002624669291337273,0,8,600064,all_reduce,8,8
74,0.185,0.192,0.18766666666666665,0.186,0.0030912061651652374,0,8,608256,all_reduce,8,8
75,0.184,0.187,0.18533333333333335,0.185,0.0012472191289246482,0,8,616448,all_reduce,8,8
76,0.184,0.191,0.18833333333333332,0.19,0.0030912061651652374,0,8,624640,all_reduce,8,8
77,0.184,0.194,0.18833333333333332,0.187,0.004189935029992182,0,8,632832,all_reduce,8,8
