Model,TP,PP,PP_Map,Num_layers,DTYPE,INT8_KV_Cache,Output_Lenght,Batch_Size,Latency,Memory-Pre-Run,Memory-After-Run,Time-Gen-Fingerprint,Time-Gen-Graph,Time-Prof
llama-2-7b,1,1,1,1,float16,False,100,1,0.1464568773905436,1.30194091796875,1.37225341796875,23.09685969352722,30.157936811447144,7.896738052368164
llama-2-7b,1,1,2,2,float16,False,100,1,0.21915594736735025,1.68475341796875,1.77069091796875,22.43324089050293,35.89484691619873,9.15249490737915
llama-2-7b,1,2,1 1,2,float16,False,100,1,0.22894597053527832,2.4027099609375,2.6566162109375,0,36.40527319908142,11.062397956848145
llama-2-7b,1,1,4,4,float16,False,100,1,0.36455774307250977,2.44256591796875,2.56170654296875,24.799746990203857,37.39451003074646,9.985718965530396
llama-2-7b,1,1,8,8,float16,False,100,1,0.6545486450195312,3.97186279296875,4.15350341796875,26.5863938331604,49.73134779930115,12.875682592391968
llama-2-7b,1,2,4 4,8,float16,False,100,1,0.6519303321838379,4.7034912109375,5.0531005859375,0,49.015137910842896,14.030547618865967
llama-2-7b,1,3,3 3 2,8,float16,False,100,1,0.6456769307454427,5.73980712890625,6.07769775390625,0,47.60552668571472,16.594964742660522
llama-2-7b,1,4,2 2 2 2,8,float16,False,100,1,0.6509653727213541,6.780029296875,7.350341796875,0,45.29560470581055,19.363415002822876
llama-2-7b,1,5,2 2 2 1 1,8,float16,False,100,1,0.658012310663859,7.25579833984375,7.84368896484375,0,45.369911432266235,21.238783359527588
llama-2-7b,1,6,2 2 1 1 1 1,8,float16,False,100,1,0.6600159804026285,8.6495361328125,9.3409423828125,0,46.474905252456665,24.440261602401733
llama-2-7b,1,7,2 1 1 1 1 1 1,8,float16,False,100,1,0.6651384830474854,8.75030517578125,9.56280517578125,0,45.40164041519165,25.475435256958008
llama-2-7b,1,8,1 1 1 1 1 1 1 1,8,float16,False,100,1,0.6659820874532064,10.35498046875,11.31591796875,0,45.572049379348755,28.586155891418457
llama-2-7b,1,1,12,12,float16,False,100,1,0.9471939404805502,5.46209716796875,5.70623779296875,28.078205823898315,60.33558392524719,15.944401979446411
llama-2-7b,1,1,16,16,float16,False,100,1,1.2361687819163005,6.97186279296875,7.27850341796875,32.999897718429565,72.46305680274963,20.815707206726074
llama-2-7b,1,2,8 8,16,float16,False,100,1,1.2157383759816487,7.7269287109375,8.3265380859375,0,63.87419414520264,17.33892273902893
llama-2-7b,1,3,6 5 5,16,float16,False,100,1,1.2051559289296467,8.69097900390625,9.17926025390625,0,62.11123704910278,20.109780311584473
llama-2-7b,1,4,4 4 4 4,16,float16,False,100,1,1.2096366087595622,9.947998046875,10.559326171875,0,57.65698170661926,22.934483766555786
llama-2-7b,1,5,4 3 3 3 3,16,float16,False,100,1,1.2149958610534668,10.48431396484375,11.09954833984375,0,56.80928421020508,24.08739709854126
llama-2-7b,1,6,3 3 3 3 2 2,16,float16,False,100,1,1.2142606576283772,11.8155517578125,12.6417236328125,0,56.83175492286682,27.475816011428833
llama-2-7b,1,7,3 3 2 2 2 2 2,16,float16,False,100,1,1.217310905456543,12.01788330078125,12.87139892578125,0,56.964927673339844,28.705425262451172
llama-2-7b,1,8,2 2 2 2 2 2 2 2,16,float16,False,100,1,1.2202799320220947,13.52880859375,14.58154296875,0,58.55388832092285,31.958083868026733
llama-2-7b,1,1,20,20,float16,False,100,1,1.522734800974528,8.48553466796875,8.85272216796875,37.970277070999146,78.01053094863892,23.81264352798462
llama-2-7b,1,1,24,24,float16,False,100,1,1.8181367715199788,10.01678466796875,10.44647216796875,37.924129486083984,91.3129153251648,25.183796644210815
llama-2-7b,1,1,28,28,float16,False,100,1,2.1081124941507974,11.52655029296875,12.01873779296875,40.41680121421814,99.42584228515625,30.283366203308105
llama-2-7b,1,1,32,32,float16,False,100,1,2.4002278645833335,13.01483154296875,13.57147216796875,0,110.79662990570068,29.27195906639099
llama-2-7b,1,2,16 16,32,float16,False,100,1,2.3562656243642173,13.8050537109375,14.5257568359375,0,100.41122770309448,29.601524591445923
llama-2-7b,1,3,11 11 10,32,float16,False,100,1,2.3358067671457925,14.65777587890625,15.54840087890625,0,96.87145233154297,29.99128794670105
llama-2-7b,1,4,8 8 8 8,32,float16,False,100,1,2.3317538102467856,15.807373046875,16.817138671875,0,92.86804842948914,32.150763750076294
llama-2-7b,1,5,7 7 6 6 6,32,float16,False,100,1,2.3319668769836426,16.27728271484375,17.35736083984375,0,91.06466960906982,33.2236053943634
llama-2-7b,1,6,6 6 5 5 5 5,32,float16,False,100,1,2.3273967107137046,17.7823486328125,18.7882080078125,0,89.83166146278381,35.905664920806885
llama-2-7b,1,7,5 5 5 5 4 4 4,32,float16,False,100,1,2.335196097691854,18.08233642578125,19.05889892578125,0,87.58326148986816,37.31922745704651
llama-2-7b,1,8,4 4 4 4 4 4 4 4,32,float16,False,100,1,2.3344955444335938,19.62451171875,20.95068359375,0,87.7620759010315,40.34028911590576
