Model,TP,PP,PP_Map,DTYPE,INT8_KV_Cache,Output_Lenght,Batch_Size,Latency,Memory-Pre-Run,Memory-After-Run,Time-Gen-Graph,Time-Prof
llama-2-7b,1,8,4 4 4 4 4 4 4 4,float16,False,100,1,2.1615563233693442,19.27294921875,20.39990234375,89.21524500846863,39.276139974594116
llama-2-7b,1,8,3 3 3 3 5 5 5 5,float16,False,100,1,2.1597062746683755,19.36279296875,20.42138671875,88.33732461929321,38.796059370040894
llama-2-7b,1,8,2 2 3 3 5 5 6 6,float16,False,100,1,2.1605774561564126,19.17919921875,20.39990234375,87.13065481185913,37.61687421798706
llama-2-7b,1,8,1 2 3 4 4 5 6 7,float16,False,100,1,2.164292812347412,19.17529296875,20.39794921875,87.79979109764099,37.210928440093994
llama-2-7b,1,8,4 4 4 4 4 4 4 4,float16,False,100,8,2.1753185590108237,24.11279296875,25.52294921875,88.81534385681152,39.028626918792725
llama-2-7b,1,8,3 3 3 3 5 5 5 5,float16,False,100,8,2.1745813687642417,24.19091796875,25.90185546875,89.25919365882874,38.27875590324402
llama-2-7b,1,8,2 2 3 3 5 5 6 6,float16,False,100,8,2.1791316668192544,23.55810546875,25.26904296875,88.75232577323914,38.20680260658264
llama-2-7b,1,8,1 2 3 4 4 5 6 7,float16,False,100,8,2.18357253074646,23.97216796875,25.71435546875,87.96396660804749,37.7259087562561
llama-2-7b,1,8,4 4 4 4 4 4 4 4,float16,False,100,16,2.3166678746541343,28.29833984375,30.41162109375,91.83620142936707,39.437413692474365
llama-2-7b,1,8,3 3 3 3 5 5 5 5,float16,False,100,16,2.319542169570923,28.62451171875,30.65380859375,91.70729756355286,39.24376106262207
llama-2-7b,1,8,2 2 3 3 5 5 6 6,float16,False,100,16,2.3258348306020102,28.08935546875,30.46240234375,88.61898946762085,38.39689517021179
llama-2-7b,1,8,1 2 3 4 4 5 6 7,float16,False,100,16,2.3259847164154053,28.33154296875,30.64208984375,88.89488649368286,38.7857882976532
llama-2-7b,1,8,4 4 4 4 4 4 4 4,float16,False,100,32,2.6288570562998452,38.62060546875,41.64599609375,88.63916563987732,42.86897015571594
llama-2-7b,1,8,3 3 3 3 5 5 5 5,float16,False,100,32,2.6298373540242515,38.00537109375,41.54638671875,90.62578916549683,40.87339377403259
llama-2-7b,1,8,2 2 3 3 5 5 6 6,float16,False,100,32,2.6321248213450112,38.63623046875,42.49560546875,89.80830502510071,40.435060262680054
llama-2-7b,1,8,1 2 3 4 4 5 6 7,float16,False,100,32,2.636437972386678,38.26123046875,42.05615234375,91.10429883003235,40.66911268234253
llama-2-7b,1,8,4 4 4 4 4 4 4 4,float16,False,100,64,2.731765111287435,58.18505859375,62.18115234375,90.4889132976532,42.47248148918152
llama-2-7b,1,8,3 3 3 3 5 5 5 5,float16,False,100,64,2.7353690465291343,58.67138671875,64.58740234375,87.34910559654236,41.43126440048218
llama-2-7b,1,8,2 2 3 3 5 5 6 6,float16,False,100,64,2.7408559322357178,57.77685546875,64.23583984375,88.01100158691406,41.2776460647583
llama-2-7b,1,8,1 2 3 4 4 5 6 7,float16,False,100,64,2.741694768269857,56.58935546875,63.41943359375,89.82231068611145,40.668410539627075
llama-2-13b,1,8,5 5 5 5 5 5 5 5,float16,False,100,1,3.9802648226420083,31.47802734375,32.49169921875,122.7551155090332,53.22366166114807
llama-2-13b,1,8,3 3 3 3 7 7 7 7,float16,False,100,1,3.9859143098195395,31.15966796875,32.42724609375,121.1718316078186,49.72571802139282
llama-2-13b,1,8,2 2 4 4 6 6 8 8,float16,False,100,1,3.988442579905192,31.05810546875,32.32177734375,122.84944248199463,49.3642578125
llama-2-13b,1,8,1 2 3 4 6 7 8 9,float16,False,100,1,3.991086006164551,31.01318359375,32.29638671875,127.07860159873962,49.81613850593567
llama-2-13b,1,8,5 5 5 5 5 5 5 5,float16,False,100,8,4.033094008763631,37.26904296875,38.78076171875,122.87124943733215,51.49217963218689
llama-2-13b,1,8,3 3 3 3 7 7 7 7,float16,False,100,8,4.042227665583293,36.90185546875,38.64794921875,123.99206900596619,49.86589431762695
llama-2-13b,1,8,2 2 4 4 6 6 8 8,float16,False,100,8,4.046868721644084,36.73388671875,38.80224609375,125.52656936645508,49.36187672615051
llama-2-13b,1,8,1 2 3 4 6 7 8 9,float16,False,100,8,4.045943737030029,36.72998046875,38.79638671875,128.7549512386322,49.58224272727966
llama-2-13b,1,8,5 5 5 5 5 5 5 5,float16,False,100,16,4.158535559972127,45.08349609375,47.15771484375,127.39851093292236,52.022464990615845
llama-2-13b,1,8,3 3 3 3 7 7 7 7,float16,False,100,16,4.160374720891316,42.56982421875,45.71240234375,124.39318251609802,53.498717069625854
llama-2-13b,1,8,2 2 4 4 6 6 8 8,float16,False,100,16,4.160151084264119,42.70654296875,45.76904296875,126.08672285079956,49.93683743476868
llama-2-13b,1,8,1 2 3 4 6 7 8 9,float16,False,100,16,4.172444979349772,42.06201171875,45.16162109375,126.17372751235962,50.46132946014404
llama-2-13b,1,8,5 5 5 5 5 5 5 5,float16,False,100,32,4.377637545267741,57.82373046875,59.82958984375,129.00749444961548,55.28289532661438
llama-2-13b,1,8,3 3 3 3 7 7 7 7,float16,False,100,32,4.399639209111531,57.09716796875,62.16552734375,132.23888659477234,52.05689787864685
llama-2-13b,1,8,2 2 4 4 6 6 8 8,float16,False,100,32,4.391525348027547,57.20263671875,62.27099609375,135.4748706817627,52.601213455200195
llama-2-13b,1,8,1 2 3 4 6 7 8 9,float16,False,100,32,4.399056434631348,54.09326171875,59.04833984375,133.77583050727844,52.45058512687683
llama-2-13b,1,8,5 5 5 5 5 5 5 5,float16,False,100,64,4.991432587305705,86.81591796875,94.33349609375,125.30889821052551,56.92512583732605
llama-2-13b,1,8,3 3 3 3 7 7 7 7,float16,False,100,64,4.997647921244304,79.51904296875,88.68505859375,122.15042519569397,55.76910066604614
llama-2-13b,1,8,2 2 4 4 6 6 8 8,float16,False,100,64,5.002410411834717,78.50341796875,88.49169921875,123.32553577423096,55.29386329650879
llama-2-13b,1,8,1 2 3 4 6 7 8 9,float16,False,100,64,5.0060014724731445,81.68701171875,90.89208984375,129.65208268165588,56.07032132148743
llama-2-70b,1,8,10 10 10 10 10 10 10 10,float16,False,100,1,20.30214269955953,135.98974609375,137.01513671875,558.8902106285095,158.31918144226074
llama-2-70b,1,8,5 5 5 5 15 15 15 15,float16,False,100,1,20.31584374109904,135.98583984375,137.02099609375,586.9362428188324,157.25863814353943
llama-2-70b,1,8,3 3 7 7 13 13 17 17,float16,False,100,1,20.326714118321735,136.23388671875,137.27490234375,605.8658788204193,158.9759864807129
llama-2-70b,1,8,2 4 6 8 12 14 16 18,float16,False,100,1,20.325120846430462,136.00537109375,137.08740234375,577.686404466629,158.36466431617737
llama-2-70b,1,8,10 10 10 10 10 10 10 10,float16,False,100,8,20.79387680689494,147.73779296875,149.31982421875,567.6497988700867,162.32378673553467
llama-2-70b,1,8,5 5 5 5 15 15 15 15,float16,False,100,8,20.811580737431843,147.27685546875,148.73779296875,575.7393670082092,162.8223536014557
llama-2-70b,1,8,3 3 7 7 13 13 17 17,float16,False,100,8,20.810120344161987,146.68310546875,148.32373046875,591.1970427036285,159.7680540084839
llama-2-70b,1,8,2 4 6 8 12 14 16 18,float16,False,100,8,20.81790002187093,146.67724609375,148.14208984375,576.9983897209167,161.06141924858093
llama-2-70b,1,8,10 10 10 10 10 10 10 10,float16,False,100,16,21.292321999867756,158.82958984375,160.03662109375,550.8103330135345,164.2252643108368
llama-2-70b,1,8,5 5 5 5 15 15 15 15,float16,False,100,16,21.312075932820637,158.55419921875,160.44287109375,590.4080402851105,163.1859483718872
llama-2-70b,1,8,3 3 7 7 13 13 17 17,float16,False,100,16,21.325326681137085,159.32763671875,161.35693359375,597.1561605930328,164.63112092018127
llama-2-70b,1,8,2 4 6 8 12 14 16 18,float16,False,100,16,21.323143402735393,159.10302734375,161.13037109375,586.9050989151001,164.8552074432373
llama-2-70b,1,8,10 10 10 10 10 10 10 10,float16,False,100,32,21.716850598653156,181.63623046875,183.43115234375,561.2512860298157,166.4690625667572
llama-2-70b,1,8,5 5 5 5 15 15 15 15,float16,False,100,32,21.743186712265015,182.10498046875,184.54833984375,580.594208240509,167.64545464515686
llama-2-70b,1,8,3 3 7 7 13 13 17 17,float16,False,100,32,21.75855239232381,188.51513671875,191.03076171875,596.8257801532745,167.32071185112
llama-2-70b,1,8,2 4 6 8 12 14 16 18,float16,False,100,32,21.75457962354024,183.72802734375,186.27490234375,593.2367079257965,167.78657746315002
llama-2-70b,1,8,10 10 10 10 10 10 10 10,float16,False,100,64,27.006063381830852,238.88623046875,241.46630859375,573.4144864082336,198.01031374931335
llama-2-70b,1,8,5 5 5 5 15 15 15 15,float16,False,100,64,27.01525870958964,238.02685546875,242.78662109375,579.9461543560028,201.4922173023224
llama-2-70b,1,8,3 3 7 7 13 13 17 17,float16,False,100,64,27.009627898534138,234.32763671875,238.66162109375,583.5861051082611,195.99046897888184
llama-2-70b,1,8,2 4 6 8 12 14 16 18,float16,False,100,64,27.020956993103027,237.82177734375,242.24755859375,580.8362395763397,197.72950887680054
falcon-40b,1,4,15 15 15 15,float16,False,100,1,12.25095788637797,81.621826171875,82.047607421875,565.648360490799,106.88732886314392
falcon-40b,1,4,10 10 20 20,float16,False,100,1,12.2661771774292,81.688232421875,82.172607421875,634.7772459983826,109.85313272476196
falcon-40b,1,4,10 14 16 20,float16,False,100,1,12.267859617869059,81.676513671875,82.160888671875,580.7127027511597,105.80621218681335
falcon-40b,1,4,15 15 15 15,float16,False,100,8,12.589820623397827,86.752685546875,87.418701171875,550.3390848636627,106.66139030456543
falcon-40b,1,4,10 10 20 20,float16,False,100,8,12.602959712346395,86.748779296875,87.356201171875,564.6856310367584,114.9259672164917
falcon-40b,1,4,10 14 16 20,float16,False,100,8,12.614382108052572,87.375732421875,87.983154296875,577.6555480957031,108.44933915138245
falcon-40b,1,4,15 15 15 15,float16,False,100,16,11.8224884668986,95.135498046875,95.793701171875,563.5888471603394,106.27730417251587
falcon-40b,1,4,10 10 20 20,float16,False,100,16,12.958796421686808,95.061279296875,95.803466796875,582.1851525306702,114.54422688484192
