Model,TP,PP,PP_Map,DTYPE,INT8_KV_Cache,Output_Lenght,Batch_Size,Latency,Memory-Pre-Run,Memory-After-Run,Time-Gen-Fingerprint,Time-Gen-Graph,Time-Prof
falcon-7b,1,1,1,float16,False,10,1,0.02415927251180013,1.91912841796875,1.97186279296875,25.379883289337158,53.0166654586792,8.210083961486816
falcon-7b,1,1,1,float16,False,20,1,0.04325000445048014,1.91912841796875,1.97186279296875,25.379883289337158,53.0166654586792,8.597523927688599
falcon-7b,1,1,2,float16,False,10,1,0.03406135241190592,2.31365966796875,2.36639404296875,25.39365315437317,58.615960121154785,8.310496807098389
falcon-7b,1,1,2,float16,False,20,1,0.06007115046183268,2.31365966796875,2.36639404296875,25.39365315437317,58.615960121154785,8.513844728469849
falcon-7b,1,1,1,int8,False,10,1,0.020851612091064453,1.72576904296875,1.77850341796875,0,59.855698585510254,7.9800214767456055
falcon-7b,1,1,1,int8,False,20,1,0.03729414939880371,1.72576904296875,1.77850341796875,0,59.855698585510254,7.918740272521973
falcon-7b,1,1,2,int8,False,10,1,0.02779849370320638,1.91912841796875,1.97186279296875,0,64.2743456363678,8.062114953994751
falcon-7b,1,1,2,int8,False,20,1,0.047941128412882485,1.91912841796875,1.97186279296875,0,64.2743456363678,8.255970239639282
falcon-7b,1,1,1,int4,False,10,1,0.01941688855489095,1.63006591796875,1.68280029296875,0,60.10323429107666,7.77983546257019
falcon-7b,1,1,1,int4,False,20,1,0.03428077697753906,1.63006591796875,1.68280029296875,0,60.10323429107666,8.030945539474487
falcon-7b,1,1,2,int4,False,10,1,0.025055408477783203,1.72576904296875,1.77850341796875,0,64.60025334358215,8.224087476730347
falcon-7b,1,1,2,int4,False,20,1,0.042251269022623696,1.72576904296875,1.77850341796875,0,64.60025334358215,8.327454805374146
falcon-7b,1,2,1 1,float16,False,10,1,0.036864678064982094,3.0238037109375,3.2386474609375,0,77.70651245117188,9.840413808822632
falcon-7b,1,2,1 1,float16,False,20,1,0.06247480710347494,3.0238037109375,3.2386474609375,0,77.70651245117188,10.130534887313843
falcon-7b,1,2,2 1,float16,False,10,1,0.04514956474304199,3.4593505859375,3.6331787109375,20.619163513183594,82.12881278991699,10.14865517616272
falcon-7b,1,2,2 1,float16,False,20,1,0.07971429824829102,3.4183349609375,3.6331787109375,20.619163513183594,82.12881278991699,10.482491493225098
falcon-7b,1,2,1 1,int8,False,10,1,0.029294172922770183,2.6370849609375,2.8460693359375,0,86.93485808372498,9.48364520072937
falcon-7b,1,2,1 1,int8,False,20,1,0.04979109764099121,2.6370849609375,2.8460693359375,0,86.93485808372498,9.922230958938599
falcon-7b,1,2,2 1,int8,False,10,1,0.03600788116455078,2.8304443359375,3.0394287109375,0,91.00936007499695,9.80637240409851
falcon-7b,1,2,2 1,int8,False,20,1,0.0600594679514567,2.8304443359375,3.0394287109375,0,91.00936007499695,9.779954671859741
falcon-7b,1,2,1 1,int4,False,10,1,0.02738324801127116,2.4456787109375,2.6546630859375,0,87.58952569961548,9.44420051574707
falcon-7b,1,2,1 1,int4,False,20,1,0.04445330301920573,2.4456787109375,2.6546630859375,0,87.58952569961548,9.473724603652954
falcon-7b,1,2,2 1,int4,False,10,1,0.03174185752868652,2.5413818359375,2.7503662109375,0,92.04481768608093,9.792214393615723
falcon-7b,1,2,2 1,int4,False,20,1,0.05255643526713053,2.5413818359375,2.7503662109375,0,92.04481768608093,9.814595222473145
falcon-7b,1,3,1 1 1,float16,False,10,1,0.04534912109375,4.30816650390625,4.60894775390625,0,100.9901397228241,12.76024580001831
falcon-7b,1,3,1 1 1,float16,False,20,1,0.07925724983215332,4.30816650390625,4.60894775390625,0,100.9901397228241,13.063946723937988
falcon-7b,1,3,2 1 1,float16,False,10,1,0.058948675791422524,4.70269775390625,5.00347900390625,21.00158977508545,104.06864500045776,13.543835878372192
falcon-7b,1,3,2 1 1,float16,False,20,1,0.09546295801798503,4.70269775390625,5.00347900390625,21.00158977508545,104.06864500045776,13.575707912445068
falcon-7b,1,3,1 1 1,int8,False,10,1,0.0360406239827474,3.72808837890625,4.01715087890625,0,110.67550349235535,12.628456115722656
falcon-7b,1,3,1 1 1,int8,False,20,1,0.061513264973958336,3.72808837890625,4.01715087890625,0,110.67550349235535,12.692475080490112
falcon-7b,1,3,2 1 1,int8,False,10,1,0.04264442125956217,3.92144775390625,4.21051025390625,0,115.13439559936523,13.125291347503662
falcon-7b,1,3,2 1 1,int8,False,20,1,0.0706013838450114,3.92144775390625,4.21051025390625,0,115.13439559936523,13.15807557106018
falcon-7b,1,3,1 1 1,int4,False,10,1,0.03207604090372721,3.44097900390625,3.73004150390625,0,112.93646621704102,12.454071044921875
falcon-7b,1,3,1 1 1,int4,False,20,1,0.054860830307006836,3.44097900390625,3.73004150390625,0,112.93646621704102,12.738919496536255
falcon-7b,1,3,2 1 1,int4,False,10,1,0.039299329121907554,3.53668212890625,3.82574462890625,0,118.2102472782135,12.665280103683472
falcon-7b,1,3,2 1 1,int4,False,20,1,0.05887277921040853,3.53668212890625,3.82574462890625,0,118.2102472782135,12.758249521255493
falcon-7b,1,4,1 1 1 1,float16,False,10,1,0.05573773384094238,5.889404296875,6.276123046875,0,123.49887323379517,16.639214515686035
