Model,TP,PP,PP_Map,DTYPE,INT8_KV_Cache,Output_Lenght,Batch_Size,Latency,Memory-Pre-Run,Memory-After-Run,Time-Gen-Fingerprint,Time-Gen-Graph,Time-Prof
falcon-7b,1,1,1,float16,False,10,1,0.02066826820373535,1.91912841796875,1.97186279296875,27.279651165008545,54.13711881637573,8.549192428588867
falcon-7b,1,1,1,float16,False,20,1,0.040164788564046226,1.91912841796875,1.97186279296875,27.279651165008545,54.13711881637573,8.513396501541138
falcon-7b,1,1,2,float16,False,10,1,0.027235031127929688,2.31365966796875,2.36639404296875,21.49492597579956,56.815120697021484,9.236094951629639
falcon-7b,1,1,2,float16,False,20,1,0.05337087313334147,2.31365966796875,2.36639404296875,21.49492597579956,56.815120697021484,9.265656232833862
falcon-7b,1,1,1,float16,False,10,2,0.020882050196329754,2.01483154296875,2.08709716796875,0,53.042542457580566,7.721151828765869
falcon-7b,1,1,1,float16,False,20,2,0.04040686289469401,2.01483154296875,2.08709716796875,0,53.042542457580566,7.883877277374268
falcon-7b,1,1,2,float16,False,10,2,0.027948617935180664,2.41717529296875,2.48944091796875,0,57.281633377075195,8.499578714370728
falcon-7b,1,1,2,float16,False,20,2,0.053885698318481445,2.41717529296875,2.48944091796875,0,57.281633377075195,9.356629610061646
falcon-7b,1,1,1,int8,False,10,1,0.01754927635192871,1.72576904296875,1.77850341796875,0,60.3739709854126,8.118396282196045
falcon-7b,1,1,1,int8,False,20,1,0.033808390299479164,1.72576904296875,1.77850341796875,0,60.3739709854126,8.25804591178894
falcon-7b,1,1,2,int8,False,10,1,0.021136999130249023,1.91912841796875,1.97186279296875,0,63.029179096221924,7.5989179611206055
falcon-7b,1,1,2,int8,False,20,1,0.041109959284464516,1.91912841796875,1.97186279296875,0,63.029179096221924,7.767744302749634
falcon-7b,1,1,1,int8,False,10,2,0.01759497324625651,1.82147216796875,1.89373779296875,0,59.97159385681152,7.385635137557983
falcon-7b,1,1,1,int8,False,20,2,0.03392744064331055,1.82147216796875,1.89373779296875,0,59.97159385681152,7.494627475738525
falcon-7b,1,1,2,int8,False,10,2,0.02144169807434082,2.01483154296875,2.08709716796875,0,66.61295247077942,8.479256391525269
