Model,TP,PP,PP_Map,DTYPE,INT8_KV_Cache,Output_Lenght,Batch_Size,Latency,Memory-Pre-Run,Memory-After-Run,Time-Gen-Graph,Time-Prof
falcon-7b,1,1,32,float16,False,10,1,0.34945249557495117,13.89569091796875,13.95623779296875,98.2694308757782,23.338119506835938
falcon-7b,1,1,32,float16,False,20,1,0.578082799911499,13.89569091796875,13.95623779296875,98.2694308757782,25.603455543518066
falcon-7b,1,1,32,float16,False,50,1,1.2622233231862385,13.89569091796875,13.95623779296875,98.2694308757782,25.69273829460144
falcon-7b,1,1,32,float16,False,100,1,2.40695587793986,13.89569091796875,13.95623779296875,98.2694308757782,33.15428972244263
falcon-7b,1,1,32,float16,False,200,1,4.694555362065633,13.89569091796875,13.95623779296875,98.2694308757782,41.75403714179993
falcon-7b,1,1,32,int8,False,10,1,0.2503458658854167,7.71795654296875,7.77850341796875,185.39748811721802,15.549412965774536
falcon-7b,1,1,32,int8,False,20,1,0.3800227642059326,7.71795654296875,7.77850341796875,185.39748811721802,17.16720485687256
falcon-7b,1,1,32,int8,False,50,1,0.7619747320810953,7.71795654296875,7.77850341796875,185.39748811721802,18.70991063117981
falcon-7b,1,1,32,int8,False,100,1,1.4066766897837322,7.71795654296875,7.77850341796875,185.39748811721802,21.90529990196228
falcon-7b,1,1,32,int8,False,200,1,2.6914581457773843,7.71795654296875,7.77850341796875,185.39748811721802,28.391860961914062
falcon-7b,1,1,32,int4,False,10,1,0.20470277468363443,4.63201904296875,4.69256591796875,198.44874811172485,12.685348749160767
falcon-7b,1,1,32,int4,False,20,1,0.28729597727457684,4.63201904296875,4.69256591796875,198.44874811172485,13.263290166854858
falcon-7b,1,1,32,int4,False,50,1,0.5328670342763265,4.63201904296875,4.69256591796875,198.44874811172485,14.20462703704834
falcon-7b,1,1,32,int4,False,100,1,0.9456467628479004,4.63201904296875,4.69256591796875,198.44874811172485,16.07570457458496
falcon-7b,1,1,32,int4,False,200,1,1.7628037134806316,4.63201904296875,4.69256591796875,198.44874811172485,20.12478256225586
falcon-7b,1,2,16 16,float16,False,10,1,0.3406218687693278,14.6253662109375,14.8499755859375,94.81039357185364,16.13309097290039
falcon-7b,1,2,16 16,float16,False,20,1,0.5620284875233968,14.6253662109375,14.8499755859375,94.81039357185364,17.569249391555786
falcon-7b,1,2,16 16,float16,False,50,1,1.2378055254618328,14.6253662109375,14.8499755859375,94.81039357185364,20.412814140319824
