Model,TP,PP,PP_Map,DTYPE,INT8_KV_Cache,Output_Lenght,Batch_Size,Latency,Memory-Pre-Run,Memory-After-Run,Time-Gen-Graph,Time-Prof
gptj-6b,1,1,28,float16,False,50,1,0.9711148738861084,11.74920654296875,11.86444091796875,106.90557622909546,19.896947622299194
gptj-6b,1,1,28,float16,False,100,1,1.9417204062143962,11.74920654296875,11.86444091796875,106.90557622909546,26.87499690055847
gptj-6b,1,1,28,float16,False,200,1,3.8841849168141684,11.74920654296875,11.92303466796875,106.90557622909546,37.12218475341797
gptj-6b,1,1,28,float16,False,50,8,0.9807947476704916,12.63592529296875,13.13397216796875,111.88698649406433,19.612782955169678
gptj-6b,1,1,28,float16,False,100,8,1.9695940812428792,12.63592529296875,13.13397216796875,111.88698649406433,26.251449584960938
gptj-6b,1,1,28,float16,False,200,8,3.9987452824910483,12.63592529296875,13.56756591796875,111.88698649406433,38.07436394691467
gptj-6b,1,1,28,float16,False,50,16,1.0128424962361653,13.63592529296875,14.58123779296875,134.67518758773804,22.472466468811035
gptj-6b,1,1,28,float16,False,100,16,2.0461787382761636,13.63592529296875,14.58123779296875,134.67518758773804,30.501978874206543
gptj-6b,1,1,28,float16,False,200,16,4.195694287618001,13.63592529296875,15.45623779296875,134.67518758773804,43.183679819107056
gptj-6b,1,1,28,float16,False,50,32,1.0713079770406086,16.63592529296875,18.48748779296875,121.01491403579712,24.478230953216553
gptj-6b,1,1,28,float16,False,100,32,2.1726625760396323,16.63592529296875,18.48748779296875,121.01491403579712,33.81976771354675
gptj-6b,1,1,28,float16,False,200,32,4.538285652796428,16.63592529296875,20.23748779296875,121.01491403579712,45.16529989242554
gptj-6b,1,1,28,float16,False,50,64,1.158258040746053,17.63006591796875,21.27655029296875,136.80916357040405,23.629531383514404
gptj-6b,1,1,28,float16,False,100,64,2.3715645472208657,17.63006591796875,21.27655029296875,136.80916357040405,33.76589226722717
gptj-6b,1,1,28,float16,False,200,64,5.124596118927002,17.63006591796875,24.77655029296875,136.80916357040405,48.854119300842285
gptj-6b,1,1,28,int8,False,50,1,0.5380093256632487,6.47772216796875,6.59295654296875,181.49048948287964,15.001720428466797
